name,modifier,head,freq_class
air traffic,air,traffic,15.0
storage room,storage,room,15.0
helping hand,helping,hand,15.0
ice cube,ice,cube,15.0
emergency medicine,emergency,medicine,15.0
medicine cabinet,medicine,cabinet,15.0
straight man,straight,man,15.0
stomachache,stomach,ache,15.0
art school,art,school,15.0
dog shit,dog,shit,15.0
pregnancy test,pregnancy,test,15.0
tough luck,tough,luck,15.0
school bus,school,bus,15.0
kitchen table,kitchen,table,15.0
report card,report,card,15.0
boo-boo,boo,boo,15.0
price tag,price,tag,15.0
waiting list,waiting,list,15.0
toothache,tooth,ache,15.0
con man,con,man,15.0
repairman,rep,airman,15.0
black belt,black,belt,15.0
white woman,white,woman,15.0
nose job,nose,job,15.0
guitar player,guitar,player,15.0
state prison,state,prison,15.0
master plan,master,plan,15.0
landing gear,landing,gear,15.0
cranberry sauce,cranberry,sauce,15.0
record player,record,player,15.0
summer school,summer,school,15.0
country music,country,music,15.0
witch doctor,witch,doctor,15.0
day shift,day,shift,15.0
fine print,fine,print,15.0
fortune cookie,fortune,cookie,15.0
window seat,window,seat,15.0
street corner,street,corner,15.0
roll call,roll,call,15.0
phone bill,phone,bill,15.0
sweet tooth,sweet,tooth,15.0
yacht club,yacht,club,15.0
junk food,junk,food,15.0
trash can,trash,can,15.0
target practice,target,practice,15.0
piano player,piano,player,15.0
white wine,white,wine,15.0
front line,front,line,15.0
birthday cake,birthday,cake,15.0
dance hall,dance,hall,15.0
pit stop,pit,stop,15.0
clean slate,clean,slate,15.0
morning sickness,morning,sickness,15.0
love song,love,song,15.0
twenty-nine,twenty,nine,15.0
golf club,golf,club,15.0
playwright,play,wright,15.0
family history,family,history,15.0
coverall,cover,all,15.0
heart failure,heart,failure,15.0
slumber party,slumber,party,15.0
sign language,sign,language,15.0
round table,round,table,15.0
terrorist attack,terrorist,attack,15.0
beef jerky,beef,jerky,15.0
black sheep,black,sheep,15.0
station house,station,house,15.0
fast food,fast,food,15.0
search party,search,party,15.0
rap sheet,rap,sheet,15.0
quarter mile,quarter,mile,15.0
basketball player,basketball,player,15.0
national bank,national,bank,15.0
holdall,hold,all,15.0
business school,business,school,15.0
intensive care,intensive,care,15.0
cellblock,cell,block,15.0
jet lag,jet,lag,15.0
flight attendant,flight,attendant,15.0
billboard,bill,board,15.0
blackboard,black,board,15.0
wine cellar,wine,cellar,15.0
flat tire,flat,tire,15.0
war zone,war,zone,15.0
switchboard,switch,board,15.0
black book,black,book,15.0
police chief,police,chief,15.0
trade-in,trade,in,15.0
motor pool,motor,pool,15.0
dashboard,dash,board,15.0
red meat,red,meat,15.0
seaboard,sea,board,15.0
frostbite,frost,bite,15.0
mockingbird,mocking,bird,15.0
wagon train,wagon,train,15.0
brain tumor,brain,tumor,15.0
past tense,past,tense,15.0
schoolyard,school,yard,15.0
duffel bag,duffel,bag,15.0
childbirth,child,birth,15.0
plea bargain,plea,bargain,15.0
sex offender,sex,offender,15.0
wild man,wild,man,15.0
bow tie,bow,tie,15.0
blackbird,black,bird,15.0
bowling ball,bowling,ball,15.0
